 ERROR: can not find a system report template to use for worst RNC;"The script determines dynamically which is the newest rsran_RUXX version on the system (by sort command). If that content directory does not have a RSRAN00.xml template, you get this message.
It means one of the following: 
a) Either no rsran directory (e.g. rsran_RU40) has not been identified by the dynamic finding code for example because of some change in the naming conventions. THen you have to seriously debug the script under the section if [ ""${RUN3GNQA}"" = ""YES"" ]; then ...
b) Or there is no rsran_RUXX directory at all, maybe because there is no 3G RAN on this OSS. THen you can disable collecting NQA worst RNC data collection by setting RUN3GNQA=NO in .bashrc
c) Or there is a rsran_RUXX directory identififed but does really not include the RSRAN000.xml file. You have to fix that manually by copying the file into place"
"ERROR: can not access directory for cleanup ""[DIRNAME]""";removal of files older than X (configurable) days can not happen because the target directory does not exist
"ERROR: can not write into directory ""[DIRNAME]""";removal of files older than X (configurable) days can not happen because the target directory is not writeable for the user that started the script
ERROR: generic error or multiple matches for line;When analysing the existing crontab it has been found that one entry (exactly same command) exists twice. This can only happen if crontabs are manually edited, which should be avoided under normal conditions
ERROR: There is no ACL file: [ERROR DETAILS];The file /etc/cron.allow has not been found when trying to analyse crontabs
"WARNING: seems you are not allowed to cron: ""[USER@HOST]""";user that started the script can not run crontab command, probably because it is not in cron.allow
"WARNING: sql failure in FM collection ""[OBJECT DETAILS]""";During FM collection an sql error occurred for the given Object/Network Element
"ERROR: found pairing ""[FILEBASENAME]"" but could not zip it";The procedure to pair XLS+CSV files of the same report into a common zip archive for PROTON can not zip XLS+CSV together for some reason
"ERROR: can not execute ""$RSRUN""";$RSRUN defines the rscmd executable (see in script header part) and the user of nsncc.sh can not execute it
"ERROR: can not descend into content dir ""$CONTENT""";$CONTENT defines the directory where adaptations for RSCMD are installed. Therefore XML templates can not be copied into place
"ERROR: XML does not exist ""[ERROR DETAILS]""";Only comes up when used with --checkjobs option: XML file that is referenced in a properties file from ERROR DETAILS is not found in the Adaptations directory. The job will not work.
"ERROR: properties file does not exist for job ""[PROPERTIESFILE]""";Only comes up when used with --checkjobs option: a properties file from ERROR DETAILS is configured as a RSCMD argument in a cronjob but not found on the system. The job will not work.
"ERROR: KPI ""${KPI}"" from ""${XML}"" not found in content";Only comes up when used with --checkjobs option: In one of the XML report templates that are used a KPI is listed that is not found inside the Adaptations directory. The job will not work.
"ERROR: can not cd into ""[VALUE OF $CCCTRL]""";The main directory for nsncc.sh script, configuration and logfiles can not be accessed because it does not exists or permissions are wrong or because the CCCTRL variable (set in script header) points to the wrong directory
"ERROR: directory ""$UNARCDIR"" must have unpacked archive for this option";Only comes up when the --noextract option is set but at the same time no unpacked archive from a former run or manual preparation is found in UNARCDIR. The script can not work then
ERROR: Customer and Cluster not set in environment. Cannot match local report sets;The environment Variables CLUSTER and CUSTOMER must be set to match a value in repsets.cf
ERROR: Working directory ${SQC_ROOT} non existent.;The main working directory - per default $HOME/CCCTRL - does not exist
"ERROR: Secure runmode required but user not member of sysop: ""[USERNAME]""";"Secure runmode is the normal mode and requires a sysop user to run the script. If no sysop user is available the database password can not be determined dynamically. It must then be defined in the $HOME/.bashrc with the 2 environment variables DBPASS to set the password and RUNSECURE=""NO"" to allow using the cleartext password. If you see this error you have RUNSECURE=YES (default) but are not member of the sysop group. The script will then stop"
"ERROR: cron problem ""[ERROR DETAILS]""";The crontab -l command is giving unexpected results that are shown in ERROR DETAILS. Probablly the script will not start
"ERROR: Secure runmode required but DB password for ""$DBUSER"" can not be found dynamically";"Secure runmode is the normal mode and requires a sysop user to run the script. If no sysop user is available the database password can not be determined dynamically. It must then be defined in the $HOME/.bashrc with the 2 environment variables DBPASS to set the password and RUNSECURE=""NO"" to allow using the cleartext password. If only DBPASS is set but RUNSECURE not disabled the DBPASS will not be used. This defaul behaviour of the script can be changed by changing the RUNSECURE inside the script header"
"ERROR: can not find report set definitions ""[ERROR DETAILS]""";The repsets.cf file is not in the archive or at least not in the correct place or with correct name and permissions
"ERROR: missing properties file in archive:  ""[ERROR DETAILS]""";The properties file from ERROR DETAILS was referenced in the repsets.cf but could not be found in the archive when the script tried to copy it into place
"ERROR: could not install missing adaptation ""[ERROR DETAILS]""";The script saw that an existing adaptation directory is different from the one in the archive and while trying to copy it from the unpacked archive to the $RSCMD/conten3 directory an error occurred
"ERROR: could not install metadata ""[ERROR DETAILS]""";The script saw that an existing metadata directory is different from the one in the archive and while trying to copy it from the unpacked archive to the $RSCMD/conten3 directory an error occurred
"ERROR: missing adaptation ""[EROR DETAILS]"" from both own and OSS archive !!";A properties file references an XML file in a adaptation directory that does not exist in the archive and not in the $RSCMD/content3 directory
"ERROR: can not find target for ""[ERROR DETAILS]"" in content3 subdirectory structure";An XML file that is referenced in a properties file can not be copied to its final directory (like e.g. ~/rsran_RU40/reports) because partent directories are missing AND can not simply be created by the script for some reason
"WARNING: required template '[DETAILS]"" not in nsncc archive - using existing local version";An XML template is referenced in a properties file but not contained in the unpacked archive. However, a local version of that template already exists which will be used and probably it will work. In normal cases, even if a local version exists it would be overwritten by the version that is contained in the archive. For convenience, this WARNING is sometimes accepted/created in purpose for example if default reports like RSRAN000 are used (it would not make much sense to carry them in the nsncc.sh archive because they are not customized and surely exist already ...)
"ERROR: can not copy ""[ERROR DETAILS]""";While trying to copy an XML template from the archive into the $RSCMD/content3 directory structure some generic error occurred
